,Activated B cell,Activated CD4 T cell,Activated CD8 T cell,Activated dendritic cell,CD56bright natural killer cell,CD56dim natural killer cell,Central memory CD4 T cell,Central memory CD8 T cell,Effector memeory CD4 T cell,Effector memeory CD8 T cell,Eosinophil,Gamma delta T cell,Immature  B cell,Immature dendritic cell,Macrophage,Mast cell,MDSC,Memory B cell,Monocyte,Natural killer cell,Natural killer T cell,Neutrophil,Plasmacytoid dendritic cell,Regulatory T cell,T follicular helper cell,Type 1 T helper cell,Type 17 T helper cell,Type 2 T helper cell
L016T,0.797582349548304,0.791188097388454,1.08626266952726,0.924923251225495,0.959478797273905,0.840861871034523,1.1343203048796,1.03178628869411,0.791311152647059,1.04296561552119,0.596015877343966,1.02067373985815,0.823754625422706,1.08958257425332,0.862228959737408,0.679844639825554,1.12837806232071,0.751136584878357,1.18567166669064,0.982540899098409,0.789189020014085,0.761527828817419,1.02388972318717,0.911023986169486,0.884109937787962,0.92518115871139,0.681955662755309,0.796101488123798
L017T,0.708340511705176,0.987067082733491,0.967630723779549,0.878461557419119,0.909332708254435,0.808415577052495,1.11691405374665,1.02655965656087,0.882538056917659,0.878311715818532,0.506277291067369,0.987701207323785,0.783854679615777,1.05025943602494,0.713258773268066,0.681269690965867,1.02046775305561,0.84642314892548,1.14139178008774,0.933893437940775,0.71788962366552,0.594735190207447,1.00448738728182,0.890965600895667,0.851180531794882,0.863759830015017,0.642980778661921,0.857829144251432
L019T,0.860742060208742,0.856386708484188,1.11978622332797,0.973219872707059,0.980725150383012,0.858752283855443,1.1559083553401,0.953427391493515,0.860021322163265,1.05247860123157,0.647408822052464,1.02719504921485,0.859593446900182,1.06627032235016,0.847490796820035,0.760637143450253,1.11461414578139,0.805370583083023,1.17796803576757,0.977414919695978,0.796939003614431,0.730117325427569,1.04897008579554,0.956571572359778,0.860045031598661,0.958821216119255,0.735515120026121,0.862872890458474
L021T,0.756092096039343,0.904200608841552,1.04940476518723,0.954354782424242,0.972329940184397,0.911405047143262,1.18333508150849,1.06642818351937,0.888840160430273,1.02784071265128,0.59626418056683,1.06521720157463,0.754613614074466,1.07623049462667,0.911777858454952,0.791191656641593,1.134942224703,0.825388307399963,1.15317452153914,1.00471102559772,0.827917239496438,0.619343694312779,1.07655580774758,1.0007492408262,0.894075356019865,0.959007350392737,0.727915088237616,0.874462888052503
L023T,0.573077255219325,0.737388000618717,0.977902791983277,0.802552833802334,0.944879652594243,0.824526839265626,1.1294751941102,0.968298684882196,0.748304206160518,0.917029714572712,0.491082962296716,0.995562442848664,0.663346262444199,1.03734829995138,0.702641988128517,0.631200826314896,0.930846586958669,0.790302246624768,1.1281243130065,0.95556936919089,0.716349310456287,0.626087676769993,0.982805596321104,0.84452835775575,0.777447893558985,0.853509896919879,0.618625739562697,0.76353518112363
L024T,0.625233590835736,0.808420567989275,0.978268393324173,0.897233972065068,0.935100740622772,0.800643864102436,1.14866101653301,0.95767753854546,0.828816033680376,0.941681454153724,0.491494199000573,1.00246335284439,0.648701778350588,1.08639192816971,0.833718782630894,0.765042259722349,1.04088228475342,0.810943222417534,1.16043642533603,0.989942023465058,0.757334094275211,0.696904872574894,1.0072709104187,0.860569799717219,0.831529255333292,0.863362870151188,0.630839740176568,0.760597279750659
L025T,0.306437139008804,0.662717486225102,0.916290791169505,0.778214687615089,0.904471423655427,0.839247804665544,1.07609724378422,0.889912560838188,0.765324645540084,0.853141858067704,0.410899957722722,1.00179499575967,0.529223745836435,0.989516103500805,0.662290992652125,0.665168605069479,0.882646155689146,0.722716502944519,1.01619987469173,0.923693635689664,0.688386527661421,0.525472402723188,0.947577030857953,0.801484359938508,0.747816554090812,0.830642491167605,0.60139630675908,0.756000213156673
L026T,0.403313723688966,0.895248160654631,1.01342136370241,0.940632660614805,0.949687889400353,0.854039728334611,1.14616398567538,1.01941161867447,0.811459770874244,0.955806784028349,0.557172139805126,1.03246761596925,0.654669961117817,1.05885612492879,0.72315436333107,0.665049940597166,1.02056716913979,0.805638409163652,1.07950063063855,0.967308298639027,0.807830219508556,0.596874931379757,1.01670321744476,0.812698532536786,0.815616776179622,0.875838213088353,0.605955883347125,0.845943221201174
L028T,0.762882815145034,0.975300638342895,1.06441582363933,0.973109850931841,0.936494717309387,0.83099857549171,1.15191987328258,1.0041442880417,0.811329029332432,0.941216161527714,0.540693265072579,1.03836325674273,0.808107048582388,1.06927398973509,0.792402895591942,0.725704202367349,1.09161473594752,0.823977970230619,1.15077462652218,0.926993309991276,0.763313658692755,0.780257202895628,1.05675106238052,0.895891933259874,0.8331452924614,0.898868719742446,0.715143468882333,0.865036041345557
L030T,0.665824606420595,0.944858010240973,1.05183204642411,0.943293167406501,0.963880759098014,0.828659730078841,1.16211407137869,0.981504137357772,0.837625431296313,0.991530984749475,0.575153084042434,1.02001832231405,0.758356243232756,1.05646029048029,0.814317056336497,0.767541724508713,1.03401090039954,0.808245915016129,1.15973031054906,0.948908466023405,0.773954495531823,0.705272484542256,1.03647562557052,0.793947443510471,0.856317589902873,0.886787190611765,0.688912237586364,0.833959145700944
L032T,0.480496303056717,0.850631257053246,0.857297106500235,0.827636310746907,0.888160969351555,0.822979116721633,1.10530918260275,1.0303085708833,0.74424255666,0.809024948369034,0.448602387555384,1.03310332326331,0.498848599862932,0.981076203859374,0.713775044297212,0.540607573387672,0.973589864237956,0.811183551271757,1.148203029494,0.907766244318146,0.692944646681356,0.442679489612779,0.980767409855416,0.821516647390353,0.6948463875726,0.782722810991669,0.69226251901333,0.789189410351551
L033T,0.200462115955672,0.778002122719843,0.812019633741466,0.771732296820748,0.919450824409478,0.808927222224504,1.06657617740247,0.974586647059486,0.622427163875602,0.771461640866051,0.433242287820521,0.923459360313788,0.437293927099853,1.0297788460596,0.644802084896202,0.31412029323227,0.835581986248808,0.717356421137406,1.08286341428282,0.867673618838124,0.571768191142921,0.429833094384697,0.975570723137295,0.696949845250899,0.719571154051496,0.6711480021612,0.593244077088286,0.824452774210534
