Malignant cells	Immune cells	Stromal cells
SCNN1A	0.01198	0.00016	0
SCNN1B	0.00048	0.01427	0.00137
SCNN1D	0.07027	0.01138	0.00406
SCO1	0.0799	0.07765	0.17108
SCO2	0.07375	0.11166	0.16285
SCOC	0.20167	0.11391	0.13991
SCP2	0.84553	0.31596	0.16653
SCPEP1	0.08345	0.07358	0.04591
SCRIB	0.15021	0.06712	0.06545
SCRN1	0.02286	0.02563	0.04234
SCRN2	0.13839	0.07374	0.07148
SCRN3	0.04351	0.02575	0.01503
SCUBE1	0.08149	0.00381	0
SCUBE2	0.00321	0.00149	0
SCUBE3	0.01316	0.01263	0.00766
SCYL1	0.10472	0.09001	0.14112
SCYL2	0.18018	0.13366	0.15546
SCYL3	0.03611	0.01174	0.06537
SDAD1	0.21371	0.25086	0.33944
SDC1	1.12253	0.53543	0.18771
SDC2	0.76607	0.14115	0.01868
SDC3	0.04385	0.12531	0
SDC4	0.39432	0.08815	0.05273
SDCBP	0.27922	0.37088	0.27329
SDCBP2-AS1	0.04181	0.03608	0.04524
ENTR1	0.08691	0.08956	0.04503
SDCCAG8	0.14562	0.18123	0.17112
SDE2	0.09184	0.09405	0.11388
SDF2	0.08899	0.08446	0.12558
SDF2L1	0.36669	0.46846	0.75997
SDF4	0.26679	0.18319	0.20316
SDHA	0.41477	0.15227	0.27391
SDHAF1	0.10619	0.06981	0.11081
SDHAF2	0.1444	0.14063	0.20975
SDHAP1	0.02979	0.02451	0.05357
SDHAP2	0.02984	0.02524	0.01646
SDHAP3	0.05556	0.03584	0.01842
SDHB	0.2918	0.1441	0.12831
SDHC	0.17376	0.10616	0.08271
SDHD	0.26489	0.09314	0.16531
SDK1	0.00794	0	0
SDK2	0.02803	0.00994	0.03533
CAVIN2	0.04007	0.01369	0.00083
SDR16C6P	0.00103	0.00084	0
SDR39U1	0.11548	0.08887	0.16741
SDS	0.07392	0.03611	0.01074
SDSL	0.08669	0.05489	0.00433
SEC11A	0.2144	0.2054	0.37324
SEC11C	0.5605	0.66471	0.57924
SEC13	0.22862	0.23078	0.39011
SEC14L1	0.06197	0.34465	0.34334
SEC14L1P1	0.01797	0.01743	0
SEC14L2	0.2667	0.06422	0.0267
SEC14L3	0.00588	0.00225	0.00096
SEC14L4	0.23688	0.19248	0.15479
SEC14L5	0.04481	0.03587	0.03245
SEC16A	0.2818	0.22588	0.1805
SEC16B	0.06616	0.00788	0.00279
SEC1P	0.09204	0.08439	0.06233
SEC22A	0.06996	0.04155	0.09209
SEC22B	0.10972	0.0758	0.04228
SEC22C	0.2595	0.24337	0.2997
SEC23A	0.14743	0.09315	0.12698
SEC23B	0.09582	0.06987	0.12315
SEC23IP	0.16514	0.12202	0.21468
SEC24A	0.18093	0.18184	0.17806
SEC24B	0.07632	0.08842	0.11656
SEC24B-AS1	0.00704	0.00388	0.00192
SEC24C	0.18344	0.10605	0.08146
SEC24D	0.0772	0.1002	0.09951
SEC31A	0.4765	0.44846	0.51492
SEC31B	0.04314	0.08488	0.23194
SEC61A1	0.42401	0.39555	0.36122
SEC61A2	0.05023	0.00991	0.01912
SEC61B	0.24357	0.30122	0.39585
SEC61G	0.15576	0.17804	0.21206
SEC62	1.73177	1.26686	0.92406
SEC63	0.7209	0.54759	0.70588
SECISBP2	0.14071	0.18086	0.30284
SECISBP2L	0.20801	0.2302	0.19557
SECTM1	0.01944	0.06825	0
SEH1L	0.09589	0.02268	0.08076
SEL1L	0.74438	0.79409	0.58872
SEL1L3	0.05951	0.70426	0.63155
SELE	0.00372	0	0
SELENBP1	0.50096	0.07431	0.00768
SELL	0.00523	0.08538	0.11057
SELPLG	0.02247	0.34875	0.50127
SEMA3A	0.01804	0.00286	0.00037
SEMA3B	0.02357	0.00282	0
SEMA3B-AS1	0.00485	0.00082	0
SEMA3C	0.04346	0.00151	0
SEMA3D	0.01123	0.00253	0
SEMA3E	0.12228	0.07542	0.08913
SEMA3F	0.00677	0.00442	0
SEMA3G	0.00326	0.0034	0
SEMA4A	0.0067	0.09212	0.06593
SEMA4B	0.08405	0.03472	0.01625
SEMA4C	0.03513	0.02692	0.01317
SEMA4D	0.02863	0.32983	0.56964
SEMA4F	0.30641	0.26405	0.2047
SEMA4G	0.27225	0.07257	0.02361
SEMA5A	0.05801	0.05751	0.02928
SEMA5B	0.0062	9e-04	0
SEMA6A	0.14988	0.04143	0.01453
SEMA6C	0.05127	0.00674	0.00107
SEMA6D	0.01176	0.00491	0.0011
SEMA7A	0.00546	0.01373	0.01942
SENP1	0.05811	0.08045	0.13385
SENP2	0.16144	0.10626	0.0983
SENP3	0.01022	0.00531	0.00802
SENP5	0.18046	0.15568	0.20753
SENP6	0.32333	0.31815	0.33021
SENP7	0.12982	0.23273	0.2316
SENP8	0.00379	0.00079	0.00959
SEPHS1	0.20576	0.11902	0.2456
SEPHS2	1.53254	0.43531	0.22538
SEPSECS	0.14616	0.04941	0.03077
SEPT7P2	0.10348	0.06645	0.06287
SERAC1	0.05941	0.03348	0.05817
SERBP1	0.88133	0.79615	1.43523
SERF2	1.65743	1.73083	2.1351
SERGEF	0.11914	0.06415	0.0528
SERHL	0.00184	0.00088	0
SERHL2	0.00356	0.00015	0.00086
SERINC1	0.60406	0.38691	0.22535
SERINC2	0.48553	0.08531	0.03011
SERINC3	0.51587	0.31672	0.34522
SERINC5	0.42532	0.14803	0.0919
SERP1	0.35682	0.48147	0.57318
SERP2	0.01222	0.0118	0.01558
SERPINA1	2.12108	0.59985	0.19216
SERPINA10	0.20867	0.04459	0.00321
SERPINA11	0.21204	0.02405	0.00168
SERPINA12	0.00464	0.00275	0
SERPINA3	1.49514	0.26334	0.08513
SERPINA4	0.22075	0.03244	0.03172
SERPINA5	0.76429	0.1216	0.01738
SERPINA6	0.70988	0.13688	0.06413
SERPINA7	0.08879	0.00789	0
SERPINB1	0.19314	0.22182	0.28341
SERPINB10	0.03554	0.02628	0.00421
SERPINB11	0.00127	0.00167	0
SERPINB12	0.03741	0.02527	0.02396
SERPINB6	0.36366	0.24602	0.24312
SERPINB8	0.02739	0.0632	0.05525
SERPINB9	0.0346	0.11118	0.18575
SERPINC1	1.29474	0.22346	0.04218
SERPIND1	1.21806	0.20519	0.06475
SERPINE1	0.342	0.08112	0.02802
SERPINE2	0.02705	0.00905	0.04774
SERPINF1	0.48192	0.10868	0.02194
SERPINF2	1.22321	0.16542	0.03306
SERPING1	1.99986	0.56927	0.22961
SERPINH1	0.08738	0.02857	0.0092
SERPINI1	0.06158	0.0558	0.05132
SERTAD1	0.0516	0.12752	0.08302
SERTAD2	0.12807	0.18018	0.30609
SERTAD3	0.02055	0.02182	0
SERTAD4	0.00952	0.00078	0
SERTAD4-AS1	0.0067	0.00082	0
SESN1	0.05308	0.10301	0.03806
SESN2	0.09919	0.06761	0.04029
SESN3	0.22638	0.19902	0.11026
SESTD1	0.25577	0.07599	0.0281
SET	0.45393	0.81588	1.33568
SETBP1	0.07403	0.15126	0.17988
SETD1A	0.07312	0.05988	0.06854
SETD1B	0.10528	0.06203	0.0834
SETD2	0.60952	0.62927	0.85646
SETD3	0.1761	0.15048	0.20678
SETD4	0.08473	0.04376	0.06258
SETD5	0.46104	0.39442	0.46764
SETD6	0.03552	0.02136	0.03388
SETD7	0.22008	0.08953	0.07951
SETD9	0.01152	0.01091	0
SETDB1	0.13175	0.08502	0.14261
SETDB2	0.05709	0.1017	0.09914
SETMAR	0.04762	0.02441	0.0401
SETSIP	0.00217	0.00185	0
SETX	0.3283	0.65187	0.72342
SEZ6	0.00311	0	0
SEZ6L2	0.29213	0.04045	0
SF1	0.56196	0.45493	0.73327
SF3A1	0.23047	0.20529	0.36063
SF3A2	0.04825	0.06579	0.10559
SF3A3	0.24701	0.19503	0.51767
SF3B1	0.7421	0.94682	1.19814
SF3B2	0.91231	0.72286	1.09682
SF3B3	0.25529	0.23195	0.38406
SF3B4	0.15839	0.0981	0.1155
SF3B5	0.50573	0.59092	0.97546
SFI1	0.04431	0.0994	0.16459
SFMBT1	0.14531	0.12424	0.18078
SFMBT2	0.01429	0.20428	0.19083
SFN	0.0551	0.00379	0.0014
SFPQ	0.81577	1.13017	1.88887
SFR1	0.0173	0.01859	0.02363
SFSWAP	0.24434	0.22078	0.42955
SFT2D1	0.03888	0.10076	0.19112
SFT2D2	0.03347	0.02591	0.03734
SFT2D3	0.02832	0.01123	0.02579
SFTPB	0.08056	0.06255	0.03532
SFTPD	0.00695	3e-04	0
SFXN1	0.48314	0.27329	0.38652
SFXN2	0.04724	0.03787	0.02324
SFXN3	0.0178	0.07194	0.0437
SFXN4	0.1714	0.07845	0.06095
SFXN5	0.1544	0.03798	0.03044
SGCB	0.02338	0.02271	0.05893
SGCE	0.09465	0.01478	0
SGIP1	0.05003	0.00175	0
SGK1	0.11008	0.24331	0.14767
SGK2	0.1417	0.01985	5e-04
SGK494	0.15888	0.13382	0.08091
SGMS1	0.13226	0.11008	0.06841
SGMS2	0.04846	0.01776	0.00188
SGPL1	0.16984	0.10279	0.20348
SGPP1	0.04724	0.03662	0.04586
SGPP2	0.14853	0.13324	0.11784
SGSH	0.02173	0.03329	0.02656
SGSM1	0.10508	0.10178	0.07513
SGSM2	0.09098	0.05874	0.03531
SGSM3	0.05748	0.06314	0.04954
SGTA	0.2127	0.14838	0.25188
SGTB	0.1693	0.17505	0.09208
SH2B1	0.09519	0.09609	0.04235
SH2B2	0.00998	0.0072	0.03097
SH2B3	0.04993	0.1159	0.05198
SH2D1A	0.00627	0.18669	0.55021
SH2D1B	0.00012	0.01951	0.00364
SH2D2A	0.0154	0.21471	0.33046
SH2D3A	0.00387	0.01	0.0069
SH2D3C	0.00837	0.05097	0.09453
SH2D4A	0.11691	0.0599	0.02386
SH2D6	0.0147	0.01466	0.00271
SH3BGRL	0.07011	0.428	0.58852
SH3BGRL2	0.26885	0.02968	0.05085
SH3BGRL3	0.43109	1.52841	2.56155
SH3BP1	0.01136	0.08113	0.16302
SH3BP2	0.24551	0.27861	0.20686
SH3BP4	0.08813	0.00838	0.00515
SH3BP5	0.07644	0.19593	0.14904
SH3BP5-AS1	0.04154	0.04006	0.05676
SH3BP5L	0.02991	0.03385	0.00665
SH3D19	0.25392	0.05554	0.00202
SH3D21	0.00789	0.0071	0
SH3GL1	0.07592	0.07613	0.10933
SH3GL1P1	0.00328	0.003	0
SH3GL1P2	0.00075	0.00087	0
SH3GL3	0.01709	0.00597	0.00435
SH3GLB1	0.35571	0.458	0.4377
SH3GLB2	0.09995	0.09305	0.24821
SH3KBP1	0.10883	0.55886	1.07757
SH3PXD2A	0.18282	0.08853	0.06761
SH3PXD2B	0.03526	0.00741	0
SH3RF1	0.04904	0.02707	0.0491
SH3RF2	0.02816	0.00697	0
SH3RF3	0.01052	0.00586	0.0049
SH3TC1	0.04645	0.10688	0.02573
SH3TC2	0.0071	0.00264	0.00483
SH3YL1	0.03842	0.03098	0.00817
SHANK2	0.13032	0.02089	0
SHANK2-AS1	0.02472	0.03078	0.00913
SHANK2-AS3	0.13253	0.12921	0.09245
SHANK3	0.08271	0.01104	0
SHARPIN	0.21543	0.17189	0.14666
SHB	0.0335	0.00622	0
SHBG	0.06227	0.00873	0
SHC1	0.28234	0.08852	0.14439
SHC2	0.23652	0.04232	0.03079
SHC3	0.00647	0.00088	0
SHCBP1	0.03231	0.04021	0.47525
SHD	0.0214	0.00819	0
SHE	0.18076	0.11851	0.07184
SHF	0.02771	0.00132	0
SEM1	0.41049	0.34007	0.72098
SHH	0.03324	0.0063	0
SHISA2	0.00201	0.0021	0
SHISA4	0.03097	0.00761	0.00141
SHISA5	0.36416	0.34006	0.30895
SHISA9	0.06751	0.05972	0.03273
SHKBP1	0.18632	0.29372	0.4151
SHMT1	0.2302	0.06144	0.10528
SHMT2	0.41531	0.20631	0.34997
SHOC2	0.21233	0.29619	0.4508
SHOX2	0.00534	0.00692	0
SHPK	0.24668	0.23393	0.14903
SHPRH	0.14277	0.11018	0.14947
SHQ1	0.04731	0.03151	0.03789
SHROOM1	0.88094	0.64556	0.47079
SHROOM2	0.02557	0.00321	0
SHROOM3	0.04688	0.01011	0
SHROOM4	0.17601	0.16584	0.14985
SIAE	0.10126	0.03653	0.00758
SIAH1	0.0493	0.02374	0.02981
SIAH2	0.24914	0.09598	0.13009
SIAH3	0.00608	0.00665	0.00598
SIDT1	0.03705	0.14509	0.13511
SIDT2	0.07041	0.05412	0.03469
SIGIRR	0.211	0.20733	0.16401
SIGLEC1	0.01433	0.21854	0.00772
SIGLEC10	0.22186	0.29362	0.16781
SIGLEC11	0.03859	0.04154	0.01811
SIGLEC14	0.00083	0.0032	0.00181
SIGLEC15	0.00254	0	0
SIGLEC17P	9e-05	0.02812	0.01045
SIGLEC5	3e-05	0.02192	0.01507
SIGLEC6	0.0635	0.06677	0.06102
SIGLEC7	0.00274	0.06174	0
SIGLEC8	0.0036	0.00233	0
SIGLEC9	0.0025	0.02646	0.00071
SIGMAR1	0.45021	0.10568	0.17601
SIK2	0.22364	0.06287	0.02467
SIK3	0.14053	0.13952	0.22058
SIKE1	0.12775	0.12172	0.22317
SIL1	0.43198	0.36118	0.27117
SIMC1	0.03809	0.04051	0.07774
SIN3A	0.19118	0.16888	0.33573
SIN3B	0.07719	0.09098	0.05125
SIPA1	0.09338	0.17757	0.18611
SIPA1L1	0.16337	0.15284	0.29319
SIPA1L2	0.09673	0.05023	0.02457
SIPA1L3	0.06097	0.045	0.05944
SIRPA	0.08822	0.14922	0.01513
SIRPB1	0.00137	0.01778	0
SIRPB2	0.09685	0.09135	0.04016
SIRPG	0.01153	0.20952	0.3744
SIRT1	0.12134	0.08125	0.04933
SIRT2	0.15572	0.12617	0.14626
SIRT3	0.10797	0.05841	0.0613
SIRT4	0.00892	0.00238	0
SIRT5	0.13922	0.05292	0.03025
SIRT6	0.03277	0.02571	0.01893
SIRT7	0.17059	0.12991	0.23775
SIT1	0.00178	0.08036	0.20923
SIVA1	0.14502	0.15816	0.6666
SIX1	0.01543	0.00686	0.01644
SIX4	0.01091	0.00886	0.00277
SIX5	0.03104	0.02185	0.00744
SKA1	0.11888	0.09456	0.24465
SKA2	0.05007	0.1281	0.71349
SKA3	0.01727	0.01092	0.44641
SKAP1	0.02791	0.25156	0.64711
SKAP2	0.32832	0.36607	0.30415
SKI	0.18093	0.0756	0.02503
SKIDA1	0.06011	0.01096	0
SKIL	0.52449	0.22557	0.21304
SKIV2L	0.23948	0.12833	0.13747
MTREX	0.18738	0.24475	0.36892
SKP1	0.847	0.74148	1.05411
SKP2	0.10865	0.02551	0.11264
SLA	0.05306	0.71901	1.33194
SLA2	0.00166	0.04503	0.05748
SLAIN1	0.00586	0.01686	0.01098
SLAIN2	0.25088	0.19623	0.14428
SLAMF1	0.00852	0.12711	0.25608
SLAMF6	0.03134	0.29438	0.45738
SLAMF7	0.10514	0.84196	0.74664
SLAMF8	0.01091	0.09756	0.04928
SLBP	0.12593	0.13768	0.34967
SLC10A1	0.16905	0.02116	0.01273
SLC10A3	0.02671	0.02618	0.02463
SLC10A4	0.00228	0	0
SLC10A5	0.0433	0.01798	0
SLC10A7	0.02969	0.04639	0.02946
SLC11A1	0.01919	0.03074	0.00137
SLC11A2	0.1637	0.11393	0.1076
SLC12A1	0.00229	0.00013	0
SLC12A2	0.16175	0.05507	0.09442
SLC12A3	0.00073	0.00708	0.00045
SLC12A4	0.046	0.03794	0.00385
SLC12A5	0.001	0.00478	0
SLC12A6	0.36416	0.39333	0.2446
SLC12A7	0.45097	0.13263	0.03943
SLC12A8	0.05172	0.00893	5e-04
SLC12A9	0.15182	0.09951	0.10327
SLC13A3	0.2126	0.0081	0.00222
SLC13A5	0.41807	0.04059	0.00687
SLC14A1	0.02555	0.03742	0.03771
SLC14A2	0.20331	0.1703	0.11941
SLC15A1	0.09789	0.01646	0.00103
SLC15A2	0.08252	0.12173	0.12863
SLC15A3	0.02544	0.13913	0.05995
SLC15A4	0.14307	0.05419	0.00877
SLC16A1	0.48478	0.1098	0.25251
SLC16A1-AS1	0.17632	0.12213	0.07872
SLC16A10	0.03566	0.0176	0.01035
SLC16A11	0.03662	0.00548	0
SLC16A12	0.10969	0.10117	0.0527
SLC16A13	0.01121	0.00808	0
SLC16A14	0.00436	0.00072	0
SLC16A2	0.11632	0.00941	0.00806
SLC16A3	0.05362	0.13981	0.14069
SLC16A4	0.00626	0.00919	0
SLC16A5	0.00266	0.00709	0
SLC16A6	0.00668	0.0296	0.00791
SLC16A7	0.12352	0.12823	0.168
SLC16A9	0.01744	0.01245	0
SLC17A1	0.0181	0.00078	0
SLC17A2	0.06827	0.01056	0.00086
SLC17A3	0.05951	0.00757	0.00084
SLC17A4	0.53553	0.07895	0.00356
SLC17A5	0.32502	0.1414	0.09821
SLC17A7	0.00526	0.00023	0
SLC17A9	0.12151	0.07438	0.04886
SLC18B1	0.0577	0.09287	0.00117
SLC19A1	0.03082	0.02216	0.09318
SLC19A2	0.03962	0.005	0.00698
SLC19A3	0.04459	0.00422	0.00893
SLC1A1	0.03671	0.00212	0.00127
SLC1A2	0.12577	0.01577	0.00055
SLC1A3	0.00996	0.14766	0.01109
SLC1A4	0.1582	0.1302	0.31087
SLC1A5	0.03482	0.12601	0.37138
SLC1A7	0.01065	0	0
SLC20A1	0.15969	0.17235	0.31147
SLC20A2	0.11695	0.02597	0.02136
SLC22A1	0.09654	0.02283	0.00675
SLC22A10	0.05851	0.00972	0.00108
SLC22A11	0.07415	0.01006	0.00043
SLC22A12	0.01031	0.00058	0
SLC22A15	0.03985	0.01254	0
SLC22A17	0.00154	0.00806	0
SLC22A18	0.49251	0.10736	0.04659
SLC22A18AS	0.02254	0.00835	0
SLC22A23	0.24922	0.03089	0.00318
SLC22A25	0.03888	0.00075	0
SLC22A3	0.07365	0.00455	0.00033
SLC22A31	0.01893	0.00457	0.00217
SLC22A4	0.01515	0.01878	0.00401
SLC22A5	0.06224	0.01568	0.01873
SLC22A6	0.01863	0.00175	0
SLC22A7	0.35323	0.05695	0.03623
SLC22A8	0.00249	0	0
SLC22A9	0.28282	0.07146	0.01078
SLC23A1	0.04304	0.01193	0.02022
SLC23A2	0.12385	0.08188	0.03631
SLC23A3	0.00539	0.00397	0
SLC24A1	0.06528	0.03755	0.04038
SLC24A2	0.00088	0.00045	0
SLC24A4	0.00941	0.02082	0.01893
SLC25A1	0.57295	0.13605	0.32902
SLC25A10	0.30892	0.08963	0.08368
SLC25A11	0.17166	0.15786	0.34523
SLC25A12	0.03171	0.06249	0.08915
SLC25A13	0.40452	0.10624	0.04537
SLC25A14	0.04277	0.02795	0.10872
SLC25A15	0.20732	0.12116	0.09641
SLC25A16	0.15125	0.049	0.04862
SLC25A17	0.06079	0.03644	0.07242
SLC25A18	0.11317	0.01432	0
SLC25A19	0.02993	0.04318	0.11045
SLC25A20	0.13916	0.08057	0.1052
SLC25A21	0.00113	0.00488	0
SLC25A21-AS1	0.00344	0	0
SLC25A22	0.03923	0.01538	0.05518
SLC25A23	0.11438	0.09249	0.0527
SLC25A24	0.03175	0.0968	0.10587
SLC25A25	0.08428	0.07043	0.10961
SLC25A26	0.0766	0.06901	0.0691
SLC25A27	0.08022	0.0156	0.00109
SLC25A28	0.09489	0.09041	0.08119
SLC25A29	0.04747	0.0233	0.01346
SLC25A3	0.86809	0.66798	1.25572
SLC25A30	0.06178	0.05539	0.02939
SLC25A30-AS1	0.00795	0.00268	0
SLC25A31	0.0011	0.00106	0
SLC25A32	0.07494	0.04548	0.13787
SLC25A33	0.06563	0.02839	0.01829
SLC25A34	0.00763	0.00784	0
SLC25A35	0.0152	0.01492	0.00644
SLC25A36	0.10644	0.15621	0.22699
SLC25A37	0.94019	0.88345	0.57112
SLC25A38	0.11857	0.11035	0.15
SLC25A39	0.44588	0.22453	0.25715
SLC25A4	0.14083	0.04804	0.06643
SLC25A40	0.03555	0.02561	0.05906
SLC25A41	0.04463	0.04512	0.02043
SLC25A42	0.07084	0.03472	0.01811
SLC25A43	0.03873	0.01748	0.0164
SLC25A44	0.25073	0.1389	0.07224
SLC25A45	0.054	0.09191	0.10907
SLC25A46	0.13223	0.13056	0.1675
SLC25A47	0.00321	0.00021	0
SLC25A5	0.37137	0.26456	0.50078
SLC25A5-AS1	0.00726	0.0034	0
SLC25A51	0.03315	0.03285	0.01397
SLC25A53	0.00567	0.00958	0.01803
SLC26A1	0.05552	0.00651	0
SLC26A11	0.03254	0.02528	0.00507
SLC26A2	0.2011	0.1621	0.13271
SLC26A3	0.00715	0	0
SLC26A4	0.22049	0.18877	0.16974
SLC26A6	0.21432	0.06798	0.05074
SLC26A7	0.0057	0.00235	0.00078
SLC27A1	0.04191	0.04501	0.00565
SLC27A2	0.10904	0.02494	0.04174
SLC27A3	0.12992	0.07464	0.02935
SLC27A4	0.02821	0.02216	0.04763
SLC27A5	0.50956	0.1071	0.14675
SLC28A1	0.05664	0.01225	0.00047
SLC28A2	0.10242	0.06875	0.05874
SLC29A1	0.22588	0.06042	0.04531
SLC29A2	0.00629	0.00298	0.01248
SLC29A3	0.07503	0.07082	0.00531
SLC29A4	0.13449	0.03032	7e-04
SLC2A1	0.02587	0.03253	0.07785
SLC2A1-AS1	0.00239	0.00699	0.00045
SLC2A10	0.04214	0.00334	0
SLC2A11	0.03993	0.08263	0.02283
SLC2A12	0.02982	0.00206	0
SLC2A13	0.05066	0.0372	0.01317
SLC2A14	0.00197	0.00167	0.00092
SLC2A2	1.66091	0.23183	0.04365
SLC2A3	0.05552	0.36615	0.27512
SLC2A4	0.01576	0.00303	0.00101
SLC2A4RG	0.72605	0.24116	0.31451
SLC2A5	0.03733	0.08901	0.04463
SLC2A6	0.09885	0.15525	0.18925
SLC2A8	0.05944	0.08511	0.08398
SLC2A9	0.0057	0.00264	0.0025
SLC30A1	0.0487	0.01728	0.00098
SLC30A10	0.42373	0.08437	0.08024
SLC30A3	0.01474	0.00614	0
SLC30A4	0.03808	0.04202	0.00853
SLC30A5	0.1008	0.05568	0.09645
SLC30A6	0.07565	0.05714	0.0633
SLC30A7	0.15488	0.15795	0.10701
SLC30A8	0.00592	0.00757	0.0011
SLC30A9	0.23253	0.16192	0.16435
SLC31A1	0.57138	0.49774	0.35816
SLC31A2	0.00841	0.03866	0.03473
SLC33A1	0.15421	0.08413	0.05316
SLC34A1	0.00213	0.00256	0
SLC34A2	0.0043	0.00064	0
SLC35A1	0.05723	0.03593	0.0158
SLC35A2	0.32437	0.04341	0.03271
SLC35A3	0.40253	0.23807	0.15859
SLC35A4	0.15018	0.18915	0.28614
SLC35A5	0.05027	0.04067	0.04219
SLC35B1	0.22662	0.11295	0.16165
SLC35B2	0.05035	0.02999	0.024
SLC35B3	0.10665	0.09256	0.05183
SLC35B4	0.26228	0.20908	0.20076
SLC35C1	0.15037	0.11148	0.07445
SLC35C2	0.15278	0.10246	0.06509
SLC35D1	0.18035	0.05831	0.10006
SLC35D2	0.09788	0.04865	0.01391
SLC35E1	0.39833	0.38027	0.4416
SLC35E2A	0.19581	0.09079	0.05442
SLC35E2B	0.16561	0.14667	0.0953
SLC35E3	0.15945	0.12886	0.12673
SLC35E4	0.01752	0.02954	0.00623
SLC35F1	0.00411	0.00507	0.00122
SLC35F2	0.00217	0.04251	0.0384
SLC35F5	0.55227	0.39323	0.27787
SLC35F6	0.15217	0.07283	0.04354
SLC35G1	0.03071	0.02329	0.01373
SLC35G2	0.01759	0.00164	0.00056
SLC36A1	0.04396	0.04959	0.03335
SLC36A2	0.01037	0.01358	0.00461
SLC36A4	0.04542	0.04666	0.04914
SLC37A1	0.01611	0.02297	0.03549
SLC37A2	0.0437	0.10509	0.02562
SLC37A3	0.05691	0.02994	0.00364
SLC37A4	0.3491	0.08043	0.03669
SLC38A1	0.15239	0.40674	0.78587
SLC38A10	0.65293	0.36586	0.38916
SLC38A11	0.00608	1e-04	0
SLC38A2	0.51461	0.68402	0.75412
SLC38A3	0.49507	0.06118	0.00602
SLC38A4	0.36208	0.05947	0.00836
SLC38A5	0.00191	0.04759	0.10455
SLC38A6	0.08354	0.08312	0.00328
SLC38A7	0.25791	0.18414	0.08959
SLC38A8	0.00395	0.00122	0
SLC38A9	0.03989	0.02531	0.06602
SLC39A1	0.38215	0.15819	0.08089
SLC39A10	0.09008	0.11247	0.09248
SLC39A11	0.19463	0.04676	0.09511
SLC39A13	0.03849	0.0325	0.02019
SLC39A14	0.29135	0.08753	0.04216
SLC39A3	0.07179	0.02917	0.11885
SLC39A4	0.21708	0.11504	0.13981
SLC39A5	0.07831	0.0128	0.00379
SLC39A6	0.11926	0.0869	0.06508
SLC39A7	0.29918	0.21127	0.18925
SLC39A8	0.04836	0.0589	0.10151
SLC39A9	0.15538	0.06429	0.07721
SLC3A1	0.01832	0.00978	0.00037
SLC3A2	0.28604	0.26733	0.29994
SLC40A1	0.68276	0.54865	0.01401
SLC41A1	0.06444	0.05096	0.02928
SLC41A2	0.06039	0.0291	0.04183
SLC41A3	0.0511	0.01656	0.03308
SLC43A1	0.52301	0.11918	0.0936
SLC43A2	0.34408	0.32454	0.17226
SLC43A3	0.23102	0.09918	0.12356
SLC44A1	0.15447	0.15316	0.15793
SLC44A2	0.0359	0.19759	0.25899
SLC44A3	0.02966	0.00873	0
SLC44A4	0.11583	0.09459	0.09043
SLC44A5	0.02771	0.005	0
SLC45A2	0.07822	0.00087	0
SLC45A3	0.01603	0.00186	0.00142
SLC45A4	0.02549	0.04741	0.01886
SLC46A1	0.17422	0.05236	0.02539
SLC46A3	0.06332	0.0246	0.05597
SLC47A1	0.31863	0.0619	0.03101
SLC47A2	0.01083	0.00516	0
SLC48A1	0.26478	0.17862	0.12149
SLC4A1	0.38463	0.32899	0.21203
SLC4A11	0.01182	0.00764	0
SLC4A1AP	0.18144	0.18438	0.17473
SLC4A2	0.11816	0.07181	0.07204
SLC4A3	0.00242	0.00759	0
SLC4A4	0.05345	0.03077	0.02266
SLC4A5	0.12185	0.10977	0.06118
SLC4A7	0.05011	0.29502	0.28934
SLC4A8	0.33846	0.33321	0.23185
SLC50A1	0.49217	0.29425	0.28213
SLC51A	0.07325	0.02267	0
SLC51B	0.00936	0.00132	0
SLC52A1	0.00122	0.00221	0
SLC52A2	0.05949	0.06788	0.18298
SLC5A1	0.00261	0.00137	0
SLC5A10	0.00072	0	0
SLC5A11	0.00838	5e-05	0
SLC5A12	0.07083	0.02037	0.00546
SLC5A3	0.10076	0.14072	0.1746
SLC5A5	0.01187	0.01639	0.0061
SLC5A6	0.46394	0.09415	0.1865
SLC5A9	0.13194	0.02465	0
SLC6A1	0.37593	0.0579	0.02282
SLC6A10P	0.00466	0.00091	0
SLC6A11	0.31481	0.25602	0.17312
SLC6A12	0.11994	0.01115	0.00691
SLC6A13	0.0166	0.00246	3e-04
SLC6A14	0.00095	0.00063	0.00256
SLC6A15	0.00468	0.00138	0
SLC6A16	0.03682	0.01256	9e-04
SLC6A2	0.01379	0.00152	0.00159
SLC6A20	0.03669	0.03795	0.05445
SLC6A4	0.20066	0.19164	0.10789
SLC6A6	0.01368	0.07175	0.08181
SLC6A8	0.0486	0.01714	0.01069
SLC6A9	0.01523	0.01668	0.00105
SLC7A1	0.03184	0.04094	0.14788
SLC7A10	0.01545	9e-04	0
SLC7A11	0.2557	0.19641	0.12022
SLC7A11-AS1	0.02097	0.01061	0.00516
SLC7A14	0.12726	0.11624	0.11352
SLC7A2	0.33895	0.07339	0.03191
SLC7A5	0.0072	0.03773	0.05051
SLC7A5P2	0.09871	0.19534	0.22788
SLC7A6	0.07805	0.1123	0.17907
SLC7A6OS	0.0354	0.06135	0.04654
SLC7A7	0.00449	0.10373	0.04242
SLC7A8	0.01251	0.09028	0
SLC7A9	0.02841	0.00628	0
SLC8A1	0.00816	0.1422	0.01065
