Malignant cells	Immune cells	Stromal cells
ANXA2P2	0.04634	0.03747	0.01264
ANXA2P3	0.13941	0.10035	0.10025
ANXA2R	0.0219	0.05239	0.07973
ANXA4	0.20726	0.08337	0.0578
ANXA5	0.24177	0.44599	0.84647
ANXA6	0.25723	0.36999	0.73302
ANXA7	0.39047	0.1856	0.32552
ANXA9	0.16016	0.02722	0.00087
AOAH	0.01076	0.26818	0.17604
AOC2	0.00552	0.00209	0.0024
AOC3	0.00537	0.00251	0
AOC4P	0.02941	0.02024	0.0058
AOX1	0.82188	0.10352	0.06228
AP1AR	0.11526	0.08507	0.04019
AP1B1	0.212	0.33826	0.39558
