CD8T	Malignant	Mono/Macro	Tprolif	B
AKR1C3	0.16592	1.02783	0.34186	0.04954	0.02499
AKR1C4	0.11124	0.37301	0.18327	0.00962	0.01682
AKR1C6P	0.0073	0.0145	0.00489	0.00244	0.00839
AKR1D1	0.16103	0.17845	0.23788	0.07953	0.12467
AKR1E2	0	0.00424	0	0	0.00131
AKR7A2	0.21019	0.37621	0.26132	0.28625	0.1051
AKR7A3	0.00693	0.03962	0.01142	0.02171	0.01569
AKR7L	0.00358	0.05221	0.03537	5e-04	0.00171
AKT1	0.07647	0.08008	0.06846	0.1072	0.03305
AKT1S1	0.04561	0.04459	0.10487	0.00377	0.03603
AKT2	0.07588	0.14792	0.09728	0.12236	0.0906
AKT3	0.08244	0.01919	0.03125	0.01661	0.04563
AKTIP	0.06828	0.0285	0.0162	0.05616	0.01984
ALAD	0.06663	0.17737	0.06012	0.05944	0.05478
ALAS1	0.13232	0.26344	0.11384	0.13036	0.11662
ALB	1.77227	4.82945	3.82535	0.77389	0.38591
ALCAM	0.11363	0.64428	0.50601	0.16994	0.26427
ALDH16A1	0.05811	0.11362	0.12394	0.20897	0.12199
ALDH18A1	0.02626	0.05417	0.02106	0.05255	0.09857
ALDH1A1	0.38672	1.48045	0.73319	0.08711	0.06847
ALDH1A2	0.00075	0.00394	0.00555	0	0
ALDH1B1	0.07263	0.13007	0.10484	0.00776	0.05311
ALDH1L1	0.33891	1.14674	0.44221	0.16199	0.20536
ALDH1L1-AS1	0.00136	0.00508	0	0	0.00082
ALDH1L1-AS2	0	0.00564	0.00156	0	0
ALDH1L2	0.01304	0.0071	0.00064	0.0391	0.12536
ALDH2	0.15824	0.93152	0.47069	0.13255	0.10042
ALDH3A1	0.0036	0.03105	6e-04	0.02757	0.02974
ALDH3A2	0.28268	0.91964	0.33564	0.23181	0.18823
ALDH3B1	0.07579	0.17098	0.44112	0.11167	0.09826
ALDH4A1	0.07224	0.3033	0.1411	0.03415	0.03204
ALDH5A1	0.26621	0.46197	0.32877	0.23343	0.28321
ALDH6A1	0.15548	0.58364	0.28322	0.045	0.13951
ALDH7A1	0.11512	0.57232	0.23337	0.03147	0.02579
ALDH8A1	0.06142	0.14817	0.07375	0.05719	0.06807
ALDH9A1	0.21162	0.30618	0.15953	0.16508	0.15242
ALDOA	0.84731	0.63273	1.00084	1.44295	0.59822
ALDOB	0.35946	1.48622	0.55513	0.09533	0.11908
ALDOC	0.08869	0.24697	0.10238	0.0749	0.05635
ALG1	0.27532	0.33729	0.31345	0.25069	0.28744
ALG10	0.01044	0.00745	0.00147	0.01124	0.00554
ALG10B	0.03777	0.04739	0.02485	0.0827	0.01774
ALG11	0.06887	0.04852	0.02757	0.06352	0.07722
ALG12	0.06611	0.07904	0.03805	0.07873	0.04203
ALG13	0.2079	0.12808	0.13569	0.27739	0.22494
