,sample_subtypes,scores_aa_df$amino_acid,scores_lp_df$lipid,scores_nt_df$nucleotide
TCGA-G3-A5SL-01A-11R-A27V-07,2,0.734621084483619,0.801993580257246,0.516076984704691
TCGA-NI-A4U2-01A-11R-A28V-07,2,0.807348710188425,0.779499153603837,0.764717536227548
TCGA-ED-A82E-01A-11R-A352-07,1,0.159006301114397,0.278378957429833,0.169694642271224
TCGA-UB-AA0U-01A-11R-A38B-07,2,0.653487098822187,0.746286642876393,0.606785093422712
TCGA-2Y-A9H3-01A-11R-A38B-07,1,0.753316337234687,0.557871019595217,0.411609392444176
TCGA-CC-A7II-01A-11R-A33J-07,1,0.273548842306747,0,0.486561098238172
TCGA-DD-AACG-01A-11R-A41C-07,1,0.75543015259835,0.622652853902297,0.592755412999966
TCGA-DD-AAC9-01A-11R-A41C-07,2,0.889463233466747,0.739668380336523,0.691822416791675
TCGA-DD-AAVX-01A-11R-A41C-07,2,0.831191445412459,0.682763349744363,0.638069842306202
TCGA-2Y-A9HB-01A-11R-A39D-07,2,0.845720350556634,0.792541699560675,0.640986924711229
TCGA-RC-A7SK-01A-11R-A352-07,2,0.792140666985147,0.697551324122131,0.663210367636271
TCGA-DD-AADD-01A-11R-A41C-07,1,0.727106546989309,0.690569748631015,0.430941934276731
TCGA-EP-A26S-01A-11R-A16W-07,2,0.780054426960437,0.785485846529975,0.460439103088582
TCGA-DD-A4NN-01A-11R-A28V-07,1,0.468176224708164,0.455668434326852,0.0896649691005733
TCGA-CC-A7IL-01A-11R-A33R-07,2,0.856794354139413,0.828839331436145,0.777794704505891
TCGA-DD-AAEG-01A-11R-A39D-07,2,0.81597411908839,0.72352947624508,0.641411080102417
TCGA-ED-A7XP-01A-11R-A352-07,2,0.736617756142703,0.581164558646203,0.488049478089051
TCGA-DD-A4NA-01A-11R-A266-07,1,0.0128577951213162,0.29129731669559,0.0478166766249246
TCGA-RC-A6M5-01A-11R-A32O-07,2,0.872152993787409,0.641014556469641,0.513789214339412
TCGA-FV-A2QQ-01A-11R-A22L-07,2,0.868523270603644,0.758232398379471,0.789903053656948
TCGA-DD-A1EH-01A-11R-A131-07,1,0.507598608507129,0.538420268006881,0.319327303128343
TCGA-2Y-A9H2-01A-12R-A38B-07,1,0.4916398631943,0.414959332434099,0.265220825639099
TCGA-CC-A8HS-01A-11R-A36F-07,1,0.506812203705299,0.458200796944697,0.504171467490042
TCGA-G3-A5SM-01A-12R-A28V-07,2,0.770654001077822,0.788039268186877,0.698865947398801
TCGA-CC-A7IF-01A-11R-A33J-07,2,0.794327531571474,0.709336491577137,0.798481848164257
TCGA-DD-A73E-01A-12R-A32O-07,2,0.646615421684984,0.641134842723573,0.321167209067929
TCGA-DD-A39V-01A-11R-A213-07,1,0.721324642723256,0.52828158183976,0.679184244231391
TCGA-CC-A7IK-01A-12R-A33R-07,1,0.642097812708984,0.607105300424329,0.630470296510573
TCGA-CC-A9FS-01A-11R-A37K-07,2,0.770801504516869,0.67898773490789,0.748818477740539
TCGA-UB-A7MC-01A-11R-A33R-07,2,0.693726976965761,0.585212529502806,0.468196381172914
TCGA-RC-A6M4-01A-11R-A32O-07,2,0.809003646109333,0.820549931432871,0.764555244625887
TCGA-BC-A10W-01A-11R-A131-07,1,0.530443661459608,0.595915054288911,0.737548118201576
