DC	Mono/Macro	CD8T	Malignant	Epithelial	Treg	Fibroblasts	Tprolif	B	Endothelial	Mast
PLEKHM2	0.22429	0.18685	0.05978	0.04356	0.0454	0.06017	0.09774	0.16628	0.12749	0.17402	0.02389
SLC25A34	0.0172	0.01292	0.00105	0.00254	0.0035	0	0.00585	0.01271	0	0.01727	0
RP11-169K16.4	0	0	0	0.00029	0	0	0.00508	0	0	0.00875	0
TMEM82	0.00148	0.00124	0.00118	0.07445	0.0237	0.00143	0	0.00198	0	0	0
FBLIM1	0.01486	0.01428	0.00414	0.06999	0.0736	0.00195	0.38912	0.01032	0.00218	0.18063	0
UQCRHL	0.00806	0.00621	0.00302	0.01204	0.00817	0.00272	0.00613	0.00547	0	0.00475	0
FLJ37453	0.05057	0.05958	0.04028	0.02787	0.03246	0.03104	0.06192	0.05732	0.04889	0.08939	0.04956
SPEN	0.29753	0.29375	0.19396	0.17831	0.18604	0.19133	0.36032	0.32975	0.23901	0.41651	0.11694
ZBTB17	0.06404	0.04323	0.05013	0.03096	0.0237	0.03649	0.04744	0.05979	0.06484	0.09572	0.02204
C1orf64	0.00019	0.00028	0.00035	0.0107	0.00239	0	0.00059	0.00046	0	0	0
HSPB7	0.00031	0	0	0.00574	0.00385	0.00106	0.05208	0	0	0	0
CLCNKA	0.00071	0	0	0.00047	0.00021	0	0	0	0	0	0
CLCNKB	0	0	0	0.00169	0.00122	0	0	0	0	0	0
FAM131C	0	0	6e-04	0.00258	0.00209	0	0.0089	0	0	0	0
EPHA2	0.00296	0.0048	0.00318	0.11548	0.06697	0.00106	0.07562	0.00341	0.00797	0.07279	0.02413
RP11-276H7.2	0	0.00024	0.00036	0.00209	0.00131	0	0.00154	0	0	0.00167	0
ARHGEF19	0.00541	0.00592	0.01219	0.01547	0.00962	0.00536	0.01257	0.00648	0.00966	0.0301	0.01545
RSG1	0.00413	0.00353	0.00268	0.00404	0.00077	0.00336	0.00339	0.00137	0.0039	0	0.01782
FBXO42	0.07819	0.08965	0.0461	0.04534	0.04017	0.08322	0.07313	0.08037	0.0514	0.04458	0.0381
SZRD1	0.21765	0.19653	0.16788	0.13745	0.05537	0.21905	0.28103	0.28809	0.16216	0.28023	0.09852
SPATA21	0.00106	0.00114	0.00165	0.00312	0.00361	0	0.00219	4e-04	0	0	0
NECAP2	0.39273	0.44086	0.1847	0.09979	0.06313	0.29169	0.21043	0.41635	0.18589	0.25401	0.15946
RP4-798A10.2	0.00754	0.00699	0.00691	0.00302	0.00569	0.00587	0.00318	0.00444	0.00376	0.01077	0
RP4-798A10.7	0.0038	0.00427	0.00767	0.01405	0.01198	0.00846	0.01469	0.01166	0	0.00808	0.00761
NBPF1	0.04903	0.07108	0.01078	0.05547	0.03941	0.00569	0.06626	0.0492	0.01725	0.04069	0.03812
CROCC	0.01767	0.01827	0.02072	0.0216	0.01728	0.02605	0.03389	0.02044	0.00497	0.0849	0.0329
RP11-108M9.4	0.13997	0.12966	0.0209	0.02435	0.01613	0.01767	0.10038	0.15362	0.02356	0.11421	0.04902
RP11-108M9.6	0.00352	0.00804	0.01729	0.00335	0.01007	0.00753	0.0118	0.0202	0.00418	0.05876	0
